Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
est72012,"July 1, 2012",female,Female,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",11127,8417,2073,337,82,6,212
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",275,197,34,32,3,3,6
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",14211,9805,3833,278,102,3,190
est72012,"July 1, 2012",male,Male,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",14486,10002,3867,310,105,6,196
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",463,335,57,44,3,7,17
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",25150,18084,5883,603,184,5,391
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",25613,18419,5940,647,187,12,408
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",194,137,29,12,0,4,12
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",10932,8256,2051,322,80,2,221
est72013,"July 1, 2013",female,Female,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",11126,8393,2080,334,80,6,233
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",303,219,38,33,4,3,6
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",14206,9763,3840,284,113,3,203
est72013,"July 1, 2013",male,Male,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",14509,9982,3878,317,117,6,209
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",497,356,67,45,4,7,18
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",25138,18019,5891,606,193,5,424
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",25635,18375,5958,651,197,12,442
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",208,145,31,12,0,6,14
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",10935,8289,2043,311,78,1,213
est72014,"July 1, 2014",female,Female,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",11143,8434,2074,323,78,7,227
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",335,244,42,34,4,3,8
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",14235,9768,3855,284,122,2,204
est72014,"July 1, 2014",male,Male,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",14570,10012,3897,318,126,5,212
est72014,"July 1, 2014",totsex,Both Sexes,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",543,389,73,46,4,9,22
est72014,"July 1, 2014",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",25170,18057,5898,595,200,3,417
est72014,"July 1, 2014",totsex,Both Sexes,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",25713,18446,5971,641,204,12,439
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2240,2014,109,33,18,9,57
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",52028,38307,12527,159,528,28,479
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",54268,40321,12636,192,546,37,536
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2784,2519,115,57,32,14,47
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",50163,37750,11266,138,483,34,492
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",52947,40269,11381,195,515,48,539
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",5024,4533,224,90,50,23,104
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",102191,76057,23793,297,1011,62,971
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",107215,80590,24017,387,1061,85,1075
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2240,2014,109,33,18,9,57
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",52019,38298,12527,159,528,28,479
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",54259,40312,12636,192,546,37,536
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2784,2519,115,57,32,14,47
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",50151,37738,11266,138,483,34,492
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",52935,40257,11381,195,515,48,539
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",5024,4533,224,90,50,23,104
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",102170,76036,23793,297,1011,62,971
