geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
14000US22095070600,"Census Tract 706, St. John the Baptist, LA",2192,499,1220,326,972,473,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22095070700,"Census Tract 707, St. John the Baptist, LA",4200,390,2803,347,1271,340,18,29,0,12,0,12,92,108,16,25,0,12,16,25
14000US22095070800,"Census Tract 708, St. John the Baptist, LA",2597,485,212,89,2343,473,0,12,1,2,0,12,0,12,41,73,0,12,41,73
14000US22095070900,"Census Tract 709, St. John the Baptist, LA",3196,373,1230,181,1908,304,0,12,10,28,0,12,26,27,22,34,0,12,22,34
14000US22095071000,"Census Tract 710, St. John the Baptist, LA",2756,391,1760,288,893,355,26,38,0,12,0,12,39,64,38,49,6,10,32,49
14000US22095071100,"Census Tract 711, St. John the Baptist, LA",3354,429,342,140,3012,455,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22103040102,"Census Tract 401.02, St. Tammany, LA",9497,617,8911,587,335,142,19,29,17,22,0,17,72,81,143,89,0,17,143,89
14000US22103040103,"Census Tract 401.03, St. Tammany, LA",4641,454,4637,453,4,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22103040104,"Census Tract 401.04, St. Tammany, LA",6289,615,6183,631,33,32,0,17,0,17,0,17,68,77,5,8,0,17,5,8
14000US22103040201,"Census Tract 402.01, St. Tammany, LA",8687,758,7240,758,589,189,188,212,282,359,0,17,145,190,243,211,0,17,243,211
14000US22103040202,"Census Tract 402.02, St. Tammany, LA",6209,575,5920,538,80,55,23,44,26,42,0,17,32,35,128,116,0,17,128,116
14000US22103040303,"Census Tract 403.03, St. Tammany, LA",8978,511,8147,521,161,131,15,24,344,242,0,17,124,99,187,165,0,17,187,165
14000US22103040304,"Census Tract 403.04, St. Tammany, LA",6550,565,6356,607,0,17,12,21,29,38,0,17,0,17,153,116,15,24,138,114
