geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
14000US22005030300,"Census Tract 303, Ascension, LA",13732,1012,9779,878,3654,693,14,21,51,109,0,19,187,257,47,54,0,19,47,54
14000US22005030500,"Census Tract 305, Ascension, LA",8966,684,7879,583,589,422,0,17,194,249,0,17,126,204,178,133,0,17,178,133
14000US22005031000,"Census Tract 310, Ascension, LA",6909,647,2119,414,4785,664,0,17,1,2,0,17,4,9,0,17,0,17,0,17
14000US22007050100,"Census Tract 501, Assumption, LA",3787,577,1848,378,1901,476,0,12,0,12,0,12,0,12,38,43,0,12,38,43
14000US22007050300,"Census Tract 503, Assumption, LA",3932,459,1717,277,2168,410,0,12,32,46,0,12,0,12,15,21,0,12,15,21
14000US22007050500,"Census Tract 505, Assumption, LA",2864,459,1383,297,1301,378,19,34,0,12,0,12,99,125,62,75,15,31,47,75
14000US22051020101,"Census Tract 201.01, Jefferson, LA",2814,243,2542,252,123,101,0,12,35,51,0,12,53,81,61,69,1,3,60,69
14000US22051020102,"Census Tract 201.02, Jefferson, LA",2982,304,2837,316,46,49,0,12,43,75,0,12,0,12,56,72,0,12,56,72
14000US22051020201,"Census Tract 202.01, Jefferson, LA",2146,276,1687,275,191,204,0,12,155,110,0,12,70,101,43,47,0,12,43,47
14000US22051020202,"Census Tract 202.02, Jefferson, LA",2889,362,1245,316,995,252,54,77,168,156,0,12,329,226,98,81,45,68,53,46
14000US22051020203,"Census Tract 202.03, Jefferson, LA",7147,647,6003,610,298,253,14,20,602,280,0,17,170,264,60,79,59,79,1,3
14000US22051020301,"Census Tract 203.01, Jefferson, LA",3234,239,2659,412,33,45,0,12,265,206,0,12,8,16,269,316,226,315,43,50
14000US22051020302,"Census Tract 203.02, Jefferson, LA",5379,467,4353,506,53,49,13,22,235,104,0,17,408,412,317,203,0,17,317,203
14000US22051020303,"Census Tract 203.03, Jefferson, LA",3922,274,3462,275,1,4,0,12,176,178,0,12,162,233,121,201,0,12,121,201
14000US22051020400,"Census Tract 204, Jefferson, LA",3187,212,3025,197,0,12,26,38,124,90,0,12,12,21,0,12,0,12,0,12
14000US22051020502,"Census Tract 205.02, Jefferson, LA",6785,585,5372,689,632,393,59,55,184,179,0,17,399,403,139,94,13,22,126,94
14000US22051020505,"Census Tract 205.05, Jefferson, LA",1861,252,356,218,1505,279,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22051020506,"Census Tract 205.06, Jefferson, LA",4197,674,3184,512,486,557,0,12,179,158,0,12,324,304,24,40,0,12,24,40
14000US22051020507,"Census Tract 205.07, Jefferson, LA",3934,409,3484,393,192,133,0,12,177,176,0,12,63,79,18,21,18,21,0,12
14000US22051020508,"Census Tract 205.08, Jefferson, LA",7541,900,5452,813,1445,486,14,26,242,115,0,17,183,234,205,122,44,45,161,105
14000US22051020511,"Census Tract 205.11, Jefferson, LA",4149,342,2947,316,577,246,0,12,359,90,0,12,202,169,64,60,7,14,57,58
14000US22051020512,"Census Tract 205.12, Jefferson, LA",2497,331,1923,339,121,60,0,12,219,171,0,12,214,204,20,29,0,12,20,29
14000US22051020513,"Census Tract 205.13, Jefferson, LA",4819,520,3249,374,745,241,0,12,253,175,0,12,548,377,24,37,0,12,24,37
14000US22051020514,"Census Tract 205.14, Jefferson, LA",3779,233,3578,294,1,2,0,12,96,101,0,12,104,82,0,12,0,12,0,12
14000US22051020515,"Census Tract 205.15, Jefferson, LA",3168,306,2365,296,355,116,154,154,92,65,0,12,196,160,6,11,6,11,0,12
14000US22051020516,"Census Tract 205.16, Jefferson, LA",4609,604,2192,709,1810,542,0,12,11,26,0,12,402,307,194,132,9,15,185,130
14000US22051020517,"Census Tract 205.17, Jefferson, LA",3959,290,3600,330,146,88,28,44,136,126,0,12,49,59,0,12,0,12,0,12
14000US22051020600,"Census Tract 206, Jefferson, LA",4820,590,1340,420,3232,449,0,12,0,12,0,12,232,181,16,25,16,25,0,12
14000US22051020700,"Census Tract 207, Jefferson, LA",1139,245,386,118,585,221,0,12,0,12,0,12,100,114,68,77,0,12,68,77
14000US22051021000,"Census Tract 210, Jefferson, LA",2510,267,1522,190,795,245,3,30,17,25,0,12,116,118,57,66,0,12,57,66
14000US22051021100,"Census Tract 211, Jefferson, LA",2272,308,1982,335,159,134,21,34,82,65,0,12,22,40,6,9,0,12,6,9
14000US22051021200,"Census Tract 212, Jefferson, LA",2386,309,1588,219,469,247,64,100,132,110,0,12,0,12,133,112,74,96,59,51
14000US22051021300,"Census Tract 213, Jefferson, LA",2820,180,2511,203,162,131,0,12,84,74,0,12,52,60,11,18,0,12,11,18
14000US22051021400,"Census Tract 214, Jefferson, LA",2099,158,1863,147,66,63,0,12,66,63,0,12,40,36,64,59,0,12,64,59
14000US22051021500,"Census Tract 215, Jefferson, LA",2843,276,1537,266,810,205,0,12,294,222,0,12,98,122,104,62,9,13,95,61
14000US22051021600,"Census Tract 216, Jefferson, LA",6272,729,4786,732,1001,492,85,98,45,56,0,17,258,319,97,82,65,67,32,39
14000US22051021700,"Census Tract 217, Jefferson, LA",5520,530,4670,487,279,225,291,430,126,108,0,17,87,102,67,64,0,17,67,64
14000US22051021801,"Census Tract 218.01, Jefferson, LA",2254,265,1927,247,169,116,19,24,35,48,0,12,30,50,74,74,16,24,58,72
14000US22051021803,"Census Tract 218.03, Jefferson, LA",4597,592,2098,594,1936,505,17,33,259,202,0,12,84,115,203,188,0,12,203,188
14000US22051021804,"Census Tract 218.04, Jefferson, LA",2089,360,1281,299,513,262,0,12,18,22,0,12,217,326,60,60,19,23,41,58
14000US22051021900,"Census Tract 219, Jefferson, LA",1758,189,1072,158,343,215,0,12,231,139,0,12,53,51,59,71,0,12,59,71
14000US22051022001,"Census Tract 220.01, Jefferson, LA",5207,718,2249,478,2216,520,0,17,615,520,0,17,36,41,91,80,0,17,91,80
14000US22051022002,"Census Tract 220.02, Jefferson, LA",2599,189,2367,181,98,98,113,108,0,12,0,12,21,31,0,12,0,12,0,12
14000US22051022101,"Census Tract 221.01, Jefferson, LA",1452,166,1314,123,2,5,0,12,135,159,0,12,0,12,1,2,0,12,1,2
14000US22051022102,"Census Tract 221.02, Jefferson, LA",2470,284,2043,304,239,154,0,12,175,121,0,12,0,12,13,21,0,12,13,21
14000US22051022200,"Census Tract 222, Jefferson, LA",2217,285,2209,285,1,3,0,12,7,12,0,12,0,12,0,12,0,12,0,12
14000US22051022301,"Census Tract 223.01, Jefferson, LA",2761,270,2612,299,49,58,0,12,53,60,0,12,27,44,20,32,0,12,20,32
14000US22051022302,"Census Tract 223.02, Jefferson, LA",1620,262,1356,216,124,123,12,20,96,83,0,12,0,12,32,35,0,12,32,35
14000US22051022303,"Census Tract 223.03, Jefferson, LA",3443,479,2499,541,307,216,0,12,128,89,0,12,336,315,173,123,36,41,137,111
14000US22051022400,"Census Tract 224, Jefferson, LA",3597,316,3458,346,62,99,5,9,29,29,0,12,35,43,8,14,0,12,8,14
14000US22051022500,"Census Tract 225, Jefferson, LA",2430,316,2272,314,105,133,25,37,26,42,0,12,0,12,2,5,1,3,1,3
14000US22051022600,"Census Tract 226, Jefferson, LA",3306,239,3142,257,72,99,0,12,12,20,0,12,0,12,80,77,0,12,80,77
14000US22051022700,"Census Tract 227, Jefferson, LA",2783,252,2743,256,0,12,0,12,17,26,0,12,0,12,23,36,0,12,23,36
14000US22051022800,"Census Tract 228, Jefferson, LA",2839,226,2604,278,1,3,16,18,15,26,0,12,158,203,45,61,0,12,45,61
14000US22051022900,"Census Tract 229, Jefferson, LA",2769,286,2516,312,158,158,0,12,77,106,0,12,0,12,18,23,8,14,10,17
14000US22051023001,"Census Tract 230.01, Jefferson, LA",1908,135,1831,145,30,47,0,12,8,12,7,17,10,14,22,28,5,8,17,27
14000US22051023002,"Census Tract 230.02, Jefferson, LA",4524,295,4183,336,188,188,43,66,18,27,0,12,80,129,12,18,0,12,12,18
14000US22051023003,"Census Tract 230.03, Jefferson, LA",2907,163,2759,191,42,42,7,12,46,46,0,12,46,43,7,14,0,12,7,14
14000US22051023100,"Census Tract 231, Jefferson, LA",2463,286,2283,279,42,57,30,35,62,93,0,12,46,48,0,12,0,12,0,12
14000US22051023200,"Census Tract 232, Jefferson, LA",2789,233,2560,249,87,74,0,12,13,20,0,12,39,56,90,59,0,12,90,59
14000US22051023300,"Census Tract 233, Jefferson, LA",1725,254,1629,269,8,9,0,12,38,37,0,12,18,28,32,31,24,30,8,12
14000US22051023400,"Census Tract 234, Jefferson, LA",3187,277,3100,323,0,12,52,65,35,56,0,12,0,12,0,12,0,12,0,12
14000US22051023500,"Census Tract 235, Jefferson, LA",4259,285,3965,329,93,74,0,12,8,16,0,12,64,67,129,107,70,77,59,53
14000US22051023600,"Census Tract 236, Jefferson, LA",5177,653,3694,531,668,254,0,17,264,343,0,17,551,358,0,17,0,17,0,17
14000US22051023700,"Census Tract 237, Jefferson, LA",2145,276,42,75,2054,270,0,12,0,12,0,12,0,12,49,35,10,16,39,33
14000US22051023800,"Census Tract 238, Jefferson, LA",3511,415,1968,269,1480,376,0,12,0,12,0,12,11,21,52,73,0,12,52,73
14000US22051023901,"Census Tract 239.01, Jefferson, LA",2401,229,2362,230,7,9,0,12,0,12,0,12,24,37,8,14,0,12,8,14
14000US22051023902,"Census Tract 239.02, Jefferson, LA",2412,146,2310,162,27,30,0,12,53,50,0,12,0,12,22,33,0,12,22,33
14000US22051023903,"Census Tract 239.03, Jefferson, LA",2250,126,2213,121,0,12,0,12,12,18,0,12,13,20,12,17,0,12,12,17
14000US22051023904,"Census Tract 239.04, Jefferson, LA",2761,177,2627,200,103,68,6,11,0,12,0,12,0,12,25,31,0,12,25,31
14000US22051024001,"Census Tract 240.01, Jefferson, LA",2931,183,2883,172,12,26,0,12,11,19,0,12,0,12,25,30,25,30,0,12
14000US22051024002,"Census Tract 240.02, Jefferson, LA",3187,232,3038,246,1,4,0,12,0,12,0,12,133,185,15,24,0,12,15,24
14000US22051024100,"Census Tract 241, Jefferson, LA",3176,238,3115,242,18,16,0,12,15,26,0,12,13,21,15,24,0,12,15,24
14000US22051024201,"Census Tract 242.01, Jefferson, LA",2216,317,1875,281,276,169,0,12,24,20,0,12,6,14,35,64,15,36,20,31
14000US22051024202,"Census Tract 242.02, Jefferson, LA",3362,356,1874,299,870,368,10,15,406,260,0,12,71,100,131,131,0,12,131,131
14000US22051024300,"Census Tract 243, Jefferson, LA",2877,340,2662,344,182,116,22,34,0,12,0,12,1,6,10,22,3,19,7,11
14000US22051024400,"Census Tract 244, Jefferson, LA",2747,239,2127,250,471,100,8,13,34,54,0,12,53,68,54,57,11,16,43,55
14000US22051024500,"Census Tract 245, Jefferson, LA",1673,167,1495,186,74,78,0,12,9,18,0,12,35,55,60,52,10,15,50,51
14000US22051024600,"Census Tract 246, Jefferson, LA",1264,250,248,122,976,244,0,12,0,12,0,12,0,12,40,69,1,7,39,64
14000US22051024700,"Census Tract 247, Jefferson, LA",1769,247,1207,199,419,145,63,98,2,5,0,12,0,12,78,66,0,12,78,66
14000US22051024800,"Census Tract 248, Jefferson, LA",3313,257,3246,257,0,12,0,12,67,72,0,12,0,12,0,12,0,12,0,12
14000US22051024900,"Census Tract 249, Jefferson, LA",1477,207,1095,178,285,113,0,12,12,19,0,12,55,87,30,38,0,12,30,38
14000US22051025001,"Census Tract 250.01, Jefferson, LA",8655,815,2212,314,5050,799,17,27,988,303,31,105,201,165,156,109,0,17,156,109
14000US22051025002,"Census Tract 250.02, Jefferson, LA",3117,392,1820,347,621,323,0,12,237,180,0,12,296,267,143,140,26,41,117,135
14000US22051025003,"Census Tract 250.03, Jefferson, LA",3951,370,2319,260,1082,394,14,21,174,169,0,12,314,221,48,54,38,51,10,16
14000US22051025102,"Census Tract 251.02, Jefferson, LA",4106,399,2894,307,847,200,0,12,260,110,0,12,12,15,93,92,0,12,93,92
14000US22051025103,"Census Tract 251.03, Jefferson, LA",3962,343,2094,359,1173,408,0,12,193,206,0,12,297,271,205,226,41,40,164,219
14000US22051025104,"Census Tract 251.04, Jefferson, LA",3832,501,2019,325,1198,429,18,30,141,157,0,12,325,237,131,137,0,12,131,137
14000US22051025201,"Census Tract 252.01, Jefferson, LA",2512,452,659,213,1323,405,14,25,44,51,0,12,457,291,15,30,0,12,15,30
14000US22051025202,"Census Tract 252.02, Jefferson, LA",5835,576,2175,373,2073,581,48,57,173,123,0,17,1261,554,105,90,53,64,52,62
14000US22051025300,"Census Tract 253, Jefferson, LA",2069,199,1536,231,200,137,115,114,0,12,0,12,211,189,7,10,0,12,7,10
14000US22051025400,"Census Tract 254, Jefferson, LA",4241,436,1529,294,1518,352,0,12,208,137,0,12,814,385,172,178,8,14,164,179
14000US22051025500,"Census Tract 255, Jefferson, LA",3010,324,887,184,1622,333,0,12,223,175,0,12,251,172,27,33,0,12,27,33
14000US22051025600,"Census Tract 256, Jefferson, LA",1375,185,1008,177,246,123,0,12,14,24,39,75,68,95,0,12,0,12,0,12
14000US22051025700,"Census Tract 257, Jefferson, LA",1397,229,300,119,962,267,9,15,53,59,0,12,59,60,14,17,0,12,14,17
14000US22051025800,"Census Tract 258, Jefferson, LA",1791,272,803,159,954,209,0,12,0,12,0,12,22,34,12,18,0,12,12,18
14000US22051025900,"Census Tract 259, Jefferson, LA",3379,351,1625,276,1571,367,48,38,0,12,0,12,104,76,31,40,0,12,31,40
14000US22051026000,"Census Tract 260, Jefferson, LA",2066,231,1463,277,287,134,0,12,233,192,0,12,18,28,65,85,0,12,65,85
14000US22051026100,"Census Tract 261, Jefferson, LA",3827,504,1386,327,1869,498,4,10,245,158,0,12,298,197,25,29,0,12,25,29
14000US22051026200,"Census Tract 262, Jefferson, LA",1715,293,26,39,1639,294,0,12,16,23,34,55,0,12,0,12,0,12,0,12
14000US22051026300,"Census Tract 263, Jefferson, LA",2409,326,2114,434,213,204,0,12,50,76,0,12,0,12,32,42,0,12,32,42
14000US22051026400,"Census Tract 264, Jefferson, LA",1613,144,1379,145,113,107,0,12,111,88,0,12,0,12,10,15,0,12,10,15
14000US22051026500,"Census Tract 265, Jefferson, LA",2108,235,1739,219,292,113,0,12,9,14,0,12,11,14,57,59,17,24,40,54
14000US22051026600,"Census Tract 266, Jefferson, LA",1930,251,1534,251,69,49,39,36,0,12,0,12,194,130,94,68,20,22,74,62
14000US22051026700,"Census Tract 267, Jefferson, LA",1962,288,1245,259,497,273,51,39,142,159,0,12,6,11,21,30,15,26,6,11
14000US22051026800,"Census Tract 268, Jefferson, LA",2541,406,555,271,1702,302,0,12,62,73,0,12,173,172,49,76,0,12,49,76
14000US22051026900,"Census Tract 269, Jefferson, LA",3038,293,49,34,2945,286,0,12,0,12,0,12,8,13,36,50,0,12,36,50
14000US22051027000,"Census Tract 270, Jefferson, LA",5419,624,2144,391,2314,626,90,101,647,164,0,17,224,312,0,17,0,17,0,17
14000US22051027100,"Census Tract 271, Jefferson, LA",2562,204,2328,209,157,91,43,50,0,12,0,12,0,12,34,48,0,12,34,48
14000US22051027200,"Census Tract 272, Jefferson, LA",5396,260,4163,336,956,231,27,26,9,18,62,87,131,149,48,40,0,17,48,40
14000US22051027501,"Census Tract 275.01, Jefferson, LA",6503,692,2798,666,3577,701,0,17,19,29,0,17,0,17,109,113,0,17,109,113
14000US22051027502,"Census Tract 275.02, Jefferson, LA",3594,495,1,3,3568,499,0,12,0,12,0,12,0,12,25,28,0,12,25,28
14000US22051027601,"Census Tract 276.01, Jefferson, LA",5459,612,2769,523,1928,386,0,17,620,300,0,17,0,17,142,124,0,17,142,124
14000US22051027602,"Census Tract 276.02, Jefferson, LA",3977,756,664,216,2752,775,165,223,280,139,0,12,81,129,35,46,0,12,35,46
14000US22051027701,"Census Tract 277.01, Jefferson, LA",6168,618,102,76,6060,624,0,17,0,17,0,17,0,17,6,10,0,17,6,10
14000US22051027703,"Census Tract 277.03, Jefferson, LA",4283,449,1749,275,2166,484,13,24,301,205,0,12,54,86,0,12,0,12,0,12
14000US22051027803,"Census Tract 278.03, Jefferson, LA",3085,423,982,292,1422,384,0,12,182,133,0,12,490,386,9,16,0,12,9,16
14000US22051027804,"Census Tract 278.04, Jefferson, LA",7986,708,4074,707,2564,768,8,19,596,304,0,17,636,739,108,140,15,25,93,137
14000US22051027805,"Census Tract 278.05, Jefferson, LA",8829,757,2427,506,4775,760,7,15,1289,369,0,17,71,74,260,276,0,17,260,276
14000US22051027806,"Census Tract 278.06, Jefferson, LA",7311,722,4319,549,1929,576,22,34,256,121,0,17,659,426,126,114,0,17,126,114
14000US22051027807,"Census Tract 278.07, Jefferson, LA",9063,524,5829,458,2094,424,0,17,988,243,0,17,113,135,39,35,0,17,39,35
14000US22051027809,"Census Tract 278.09, Jefferson, LA",7305,523,4211,563,2619,430,60,94,260,176,0,17,126,211,29,46,0,17,29,46
14000US22051027810,"Census Tract 278.10, Jefferson, LA",4340,368,552,169,3132,330,0,12,296,105,0,12,324,311,36,38,0,12,36,38
14000US22051027811,"Census Tract 278.11, Jefferson, LA",3367,316,220,90,3044,298,0,12,5,27,0,12,0,12,98,116,16,18,82,115
14000US22051027812,"Census Tract 278.12, Jefferson, LA",4232,451,509,217,3655,504,0,12,0,12,0,12,0,12,68,75,43,65,25,30
14000US22051027901,"Census Tract 279.01, Jefferson, LA",2913,264,2713,270,25,20,131,69,0,12,0,12,3,5,41,28,13,15,28,23
14000US22051027902,"Census Tract 279.02, Jefferson, LA",2218,347,2204,346,1,3,0,12,1,3,0,12,0,12,12,28,0,12,12,28
14000US22051028000,"Census Tract 280, Jefferson, LA",4292,304,2834,331,818,133,49,72,366,316,0,12,145,161,80,54,0,12,80,54
14000US22051028100,"Census Tract 281, Jefferson, LA",2395,376,332,103,2002,415,0,12,1,2,0,12,0,12,60,83,0,12,60,83
14000US22051028200,"Census Tract 282, Jefferson, LA",4058,486,2216,256,1351,316,52,58,89,138,0,12,276,284,74,54,0,12,74,54
14000US22051980000,"Census Tract 9800, Jefferson, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22051990000,"Census Tract 9900, Jefferson, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22051990100,"Census Tract 9901, Jefferson, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22057020704,"Census Tract 207.04, Lafourche, LA",5885,383,5271,372,304,136,0,17,0,17,0,17,12,22,298,213,0,17,298,213
14000US22057020800,"Census Tract 208, Lafourche, LA",3777,310,3576,267,36,35,14,23,0,12,0,12,0,12,151,155,0,12,151,155
14000US22057021000,"Census Tract 210, Lafourche, LA",3258,340,2807,381,249,224,63,78,30,49,0,12,0,12,109,100,0,12,109,100
14000US22057021100,"Census Tract 211, Lafourche, LA",7524,730,6924,745,52,45,352,292,76,74,0,17,0,17,120,104,0,17,120,104
14000US22057990000,"Census Tract 9900, Lafourche, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22063040902,"Census Tract 409.02, Livingston, LA",5251,541,4803,456,414,302,6,12,0,17,0,17,2,3,26,30,0,17,26,30
14000US22071000100,"Census Tract 1, Orleans, LA",2632,301,2047,271,379,198,0,12,0,12,0,12,116,165,90,95,0,12,90,95
14000US22071000200,"Census Tract 2, Orleans, LA",1233,336,271,135,915,300,0,12,0,12,0,12,11,17,36,29,0,12,36,29
14000US22071000300,"Census Tract 3, Orleans, LA",1014,234,105,63,905,206,0,12,0,12,0,12,4,7,0,12,0,12,0,12
14000US22071000400,"Census Tract 4, Orleans, LA",2189,369,346,120,1770,321,0,12,0,12,0,12,0,12,73,72,0,12,73,72
14000US22071000601,"Census Tract 6.01, Orleans, LA",918,247,0,12,918,247,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071000602,"Census Tract 6.02, Orleans, LA",3057,400,214,78,2814,387,6,10,17,23,0,12,6,9,0,12,0,12,0,12
14000US22071000603,"Census Tract 6.03, Orleans, LA",1390,192,57,40,850,272,22,39,76,79,0,12,345,300,40,31,0,12,40,31
14000US22071000604,"Census Tract 6.04, Orleans, LA",4982,614,498,118,4317,601,0,12,40,48,0,12,80,131,47,60,0,12,47,60
14000US22071000605,"Census Tract 6.05, Orleans, LA",2099,285,765,154,1325,261,0,12,3,7,0,12,6,13,0,12,0,12,0,12
14000US22071000606,"Census Tract 6.06, Orleans, LA",4207,368,1735,231,2250,296,6,10,121,111,0,12,14,20,81,90,0,12,81,90
14000US22071000607,"Census Tract 6.07, Orleans, LA",3958,379,2238,229,1694,459,0,12,0,12,0,12,0,12,26,45,26,45,0,12
14000US22071000611,"Census Tract 6.11, Orleans, LA",4308,462,61,89,3323,391,0,12,626,214,0,12,298,356,0,12,0,12,0,12
14000US22071000612,"Census Tract 6.12, Orleans, LA",1797,245,1042,200,474,271,24,28,80,92,0,12,110,99,67,81,0,12,67,81
14000US22071000613,"Census Tract 6.13, Orleans, LA",4796,582,570,148,4187,535,0,12,19,20,0,12,0,12,20,32,0,12,20,32
14000US22071000615,"Census Tract 6.15, Orleans, LA",3793,461,1023,298,2625,425,6,11,130,173,0,12,0,12,9,14,0,12,9,14
14000US22071000616,"Census Tract 6.16, Orleans, LA",4485,608,1619,263,2803,571,0,12,29,40,0,12,9,15,25,28,11,18,14,22
14000US22071000617,"Census Tract 6.17, Orleans, LA",3887,577,510,277,3254,597,18,28,30,47,0,12,75,121,0,12,0,12,0,12
14000US22071000618,"Census Tract 6.18, Orleans, LA",3790,330,1466,244,1997,309,37,39,143,97,0,12,65,91,82,82,16,29,66,77
14000US22071000701,"Census Tract 7.01, Orleans, LA",527,112,16,21,511,110,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071000702,"Census Tract 7.02, Orleans, LA",1644,335,112,78,1522,322,4,7,0,12,0,12,0,12,6,10,0,12,6,10
14000US22071000800,"Census Tract 8, Orleans, LA",1201,232,49,34,1115,236,7,10,0,12,0,12,0,12,30,39,0,12,30,39
14000US22071000901,"Census Tract 9.01, Orleans, LA",647,181,0,12,647,181,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071000902,"Census Tract 9.02, Orleans, LA",428,239,2,5,426,238,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071000903,"Census Tract 9.03, Orleans, LA",320,102,0,12,320,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071000904,"Census Tract 9.04, Orleans, LA",786,176,12,15,726,178,0,12,16,21,0,12,19,29,13,18,0,12,13,18
14000US22071001100,"Census Tract 11, Orleans, LA",1700,242,982,168,623,187,7,11,5,8,0,12,46,46,37,33,0,12,37,33
14000US22071001200,"Census Tract 12, Orleans, LA",1554,249,1254,202,210,100,0,12,0,12,0,12,0,12,90,52,0,12,90,52
14000US22071001301,"Census Tract 13.01, Orleans, LA",1654,242,334,98,1301,216,8,12,3,6,0,12,0,12,8,19,0,12,8,19
14000US22071001302,"Census Tract 13.02, Orleans, LA",946,194,43,32,896,204,0,12,7,10,0,12,0,12,0,12,0,12,0,12
14000US22071001401,"Census Tract 14.01, Orleans, LA",1146,236,11,15,1079,219,0,12,0,12,0,12,56,83,0,12,0,12,0,12
14000US22071001402,"Census Tract 14.02, Orleans, LA",1717,250,152,100,1469,219,0,12,0,12,0,12,0,12,96,110,0,12,96,110
14000US22071001500,"Census Tract 15, Orleans, LA",853,224,127,94,709,242,0,12,0,12,0,12,10,14,7,10,0,12,7,10
14000US22071001600,"Census Tract 16, Orleans, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071001701,"Census Tract 17.01, Orleans, LA",1610,182,8,12,1592,184,0,12,0,12,0,12,0,12,10,11,10,11,0,12
14000US22071001702,"Census Tract 17.02, Orleans, LA",2561,376,492,172,2006,340,0,12,63,59,0,12,0,12,0,12,0,12,0,12
14000US22071001720,"Census Tract 17.20, Orleans, LA",3182,462,32,38,3059,448,0,12,20,23,0,12,13,19,58,68,0,12,58,68
14000US22071001722,"Census Tract 17.22, Orleans, LA",3881,475,100,63,3568,431,0,12,0,12,22,35,158,207,33,40,0,12,33,40
14000US22071001723,"Census Tract 17.23, Orleans, LA",5045,503,245,123,4629,497,0,17,0,17,0,17,16,25,155,188,0,17,155,188
14000US22071001724,"Census Tract 17.24, Orleans, LA",4276,678,302,123,3746,639,0,12,147,156,0,12,49,79,32,36,32,36,0,12
14000US22071001725,"Census Tract 17.25, Orleans, LA",6504,787,138,88,6067,656,0,17,0,17,0,17,250,305,49,60,12,21,37,57
14000US22071001730,"Census Tract 17.30, Orleans, LA",773,152,25,33,735,145,0,12,0,12,0,12,0,12,13,21,0,12,13,21
14000US22071001734,"Census Tract 17.34, Orleans, LA",677,218,554,199,0,12,8,12,52,45,0,12,13,21,50,42,0,12,50,42
14000US22071001735,"Census Tract 17.35, Orleans, LA",1896,251,59,91,1827,252,0,12,0,12,0,12,0,12,10,17,10,17,0,12
14000US22071001736,"Census Tract 17.36, Orleans, LA",1625,348,87,103,1513,331,0,12,14,22,0,12,11,20,0,12,0,12,0,12
14000US22071001737,"Census Tract 17.37, Orleans, LA",2828,349,185,91,2629,335,9,13,5,8,0,12,0,12,0,12,0,12,0,12
14000US22071001739,"Census Tract 17.39, Orleans, LA",1556,231,12,19,1544,232,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071001740,"Census Tract 17.40, Orleans, LA",4521,502,63,55,4119,501,0,12,24,32,0,12,183,231,132,165,2,25,130,161
14000US22071001741,"Census Tract 17.41, Orleans, LA",1489,142,49,44,875,133,0,12,546,124,0,12,0,12,19,27,0,12,19,27
14000US22071001743,"Census Tract 17.43, Orleans, LA",2068,434,41,43,2000,436,0,12,0,12,0,12,12,25,15,22,0,12,15,22
14000US22071001744,"Census Tract 17.44, Orleans, LA",3587,599,79,73,3475,588,0,12,0,12,0,12,0,12,33,44,22,42,11,19
14000US22071001745,"Census Tract 17.45, Orleans, LA",3773,445,170,103,3404,458,5,11,2,6,0,12,153,189,39,53,29,52,10,17
14000US22071001746,"Census Tract 17.46, Orleans, LA",3970,434,87,60,3869,439,0,12,0,12,0,12,0,12,14,17,0,12,14,17
14000US22071001747,"Census Tract 17.47, Orleans, LA",3595,452,15,19,2769,434,0,12,789,202,0,12,22,36,0,12,0,12,0,12
14000US22071001748,"Census Tract 17.48, Orleans, LA",4530,589,174,129,4083,554,0,12,271,160,0,12,2,6,0,12,0,12,0,12
14000US22071001749,"Census Tract 17.49, Orleans, LA",3079,342,150,119,1019,230,14,23,1623,244,162,240,98,96,13,20,0,12,13,20
14000US22071001750,"Census Tract 17.50, Orleans, LA",3443,577,514,302,854,401,221,250,1723,398,0,12,75,58,56,56,41,52,15,17
14000US22071001751,"Census Tract 17.51, Orleans, LA",678,176,142,77,465,189,6,10,0,12,0,12,65,63,0,12,0,12,0,12
14000US22071001800,"Census Tract 18, Orleans, LA",1442,242,1278,217,72,57,18,29,1,3,0,12,45,68,28,31,6,9,22,30
14000US22071001900,"Census Tract 19, Orleans, LA",1311,257,374,123,905,213,0,12,0,12,0,12,25,41,7,11,0,12,7,11
